"","","Date","Time","Session","Presenter","Venue","Title","Abstract"
"1","⊕","2018-07-11","14:30","Poster lightning","Shinichi Takayanagi","TBD","How LINE Corp Use R to Compete in a Data-Driven World","LINE is one of the most popular messaging applications in Asia developed by LINE corp. We always collect and utilize the log of user behavior to import our services. In our data science team, R plays an important role in all stages of the data-analysis and science. It ranges from exploratory data analysis and modeling to sharing the results using Shiny with other colleagues. In our poster presentation, we explain how we use R to solve our business problems and share some practical insights for others who want to use R in their business. At first, as our data science team grows, different people develop their own R script to solve similar tasks like data base connection. We started working on our internal R package called ""liner"" shared through Github Enterprise to solve this problems. Now, multiple members often collaborate in order to improve and fix bugs using this package. We also introduce an overview of our R-related data analysis platform along with some useful OSS tools: - yanagishima: It helps people run query easily developed at LINE corp - Drone: Docker-based continuous integration tool. We use this for automated unit test and deploy ""liner"" package to users"
"2","⊕","2018-07-11","14:30","Poster lightning","Mahmoud Ahmed","TBD","cRegulome: An R package for accessing microRNA/transcription factor-gene expression correlations in cancer","Transcription factors and microRNAs are important for regulating the gene expression in normal physiology and pathological conditions. Many bioinformatics tools were built to predict and identify transcription factors and microRNA targets and their role in development of diseases including cancers. The availability of public access high-throughput data allowed for data-driven predictions and discoveries. Here, we build on some of these tools and integrative analyses and provide a tool to access, manage and visualize data from open source databases. cRegulome provides a programmatic access to the regulome (microRNA and transcription factor) correlations with target genes in cancer. The package obtains a local instance of Cistrome Cancer and miRCancerdb databases and provides classes and methods to interact with and visualize the correlation data. The package is hosted on github as part of the rOpenSci collection, https://github.com/ropensci/cRegulome"
"3","⊕","2018-07-11","14:30","Poster lightning","Miles McBain","TBD","An R pipeline for creating and hosting collaborative Web VR environments.","We are continuing the rich history of R as a generative tool for data driven documents by developing a capability to generate Virtual Reality (VR) scenes. A VR scene object is provided that can create, configure, and serve multi-user Web VR scenes. Development so far includes tools that harness the R spatial ecosystem to create textured 3D meshes from contour and raster data. Several other VR primitives are provided, including 360 photo 'portals'.  The immediate application for this work has been the creation of environments for the calibration of geo-spatial statistical models by expert elicitation. However, we see the ability to generate and host multi-user scenes, complete with facility for activity logging, as a compelling new platform for collecting and visualising experimental data.  Given this work is evolving rapidly, a poster would be the perfect tool to engage attendees in a variety of conversations about the API, the technology stack, and applications. If given a poster slot at useR!2018, we would like to bring some VR hardware to the session, to give attendees a chance to experience some of the virtual environments our tools have generated."
"4","⊕","2018-07-11","14:30","Poster lightning","Kim Ki-Yeol","TBD","Squamous cell carcinoma analysis with R","Squamous cell carcinoma (SCC) is the most common histological type of head neck cancer and cervical cancer. Carcinogenesis in these two types of cancers demonstrate similar multistep progression. The purpose of the study is to identify the significant consensus gene modules of these two cancers. We used a publicly available expression dataset for the study. The dataset included head neck cancer (42 cancer samples and 14 normal samples) and cervical cancer (20 cancer samples and 8 normal samples). We used only human papilloma virus 16 positive samples for excluding the bias according to the different types of HPV. We identified consensus modules of two types of cancers and explored the biological functions of each modules by annotation tool. We identified 8 consensus gene modules of head neck cancer and cervical cancer. Each module was well preserved between the two types of cancer. The modules included significant biological functions, including ATP binding and extracellular exosome. Consensus gene module identification is expected to contribute to more personalized management of multiple cancer types."
"5","⊕","2018-07-11","14:30","Poster lightning","Erika Siregar","TBD","AnalevR: An Interactive R-Based Analysis Environment for Utilizing BPS-Statistics Indonesia Data","As Indonesia’s national statistical agency, BPS-Statistics Indonesia produces a massive amount of strategic data every year. However, these data are still underutilized by other parties (governments, researchers, etc.) due to technical limitations and raw data exclusivity and locality. Actually, numerous people outside BPS are capable of conducting analysis but unable to access the data. To increase the data usefulness, we introduce AnalevR, an online R-based analysis environment that allows anyone to perform analyses and create visualization without having to own the original raw data. It uses a notebook-like interface where users can type commands and the output appears below it.  BPS provides the data and analysis service (including the R modules) which are held in cloud storage and can be explored via the helper function. Users remotely execute R commands and perform analysis inside the workspaces. A user can create up to 10 workspaces, each representing different sessions. Each saved session preserves the user-defined variables and functions for future use. This breakthrough will raise users’ involvement in employing BPS’ data and increase statistical quality in Indonesia."
"6","⊕","2018-07-11","14:30","Poster lightning","Yan Holtz","TBD","From Data to Viz","Selecting the right graphic type is a common task for a data scientist. On a daily basis, an R user deals with a data frame and must decide what visualization is the most appropriate to represent it.  The task is not easy. The data scientist must: -	Know the broad spectrum of visualization types -	Figure out which dataviz is doable given the dataset -	Try several (or all) of them -	Find the code to create the charts -	Avoid the common caveats associated with the selected option  Data-to-viz.com is a new website that comes to meet these needs.   It displays an interactive decision tree. The user describe their dataset, what leads them to a set of appropriate graphic types. A description is provided for each, explaining its pros and cons. Links to the R and the Python graph galleries are provided, which allows to get the corresponding code in seconds.  The complete decision tree is also available in a static version through a poster. The project has not been released yet due to its potential announcement at the useR conference."
"7","⊕","2018-07-11","14:30","Poster lightning","Goknur Giner","TBD","Pathway-VisualiseR","Statistical modelling of any genomic research produces sets of genes and individual biomarkers which require investigation. Further  exploration of those set of biomarkers is a prominent step towards  discovering the source of a biological problem. Furthermore,  understanding the collective behaviour of genes has been shown to provide valuable insights into the triggers of many human diseases. We  have developed an RShiny application that provides an interface for  researchers, enabling them to discover the interaction between their  genes and biological pathways. This application allow users to inquire  into details of their research through Gene Ontology (GO) analysis with interactive network visualisations and links to related web sites."
"8","⊕","2018-07-11","14:30","Poster lightning","Edgar Santos-Fernandez","TBD","ActisoftR: a toolbox for processing and visualizing scored actigraphy data.","Actigraphy is a cost-effective and convenient tool for activity-based monitoring. It allows studying sleep/wake patterns and identifying disorders in sleep research. ActisoftR was designed for parsing actigraphy outputs and to summarise scored data across user-defined intervals. It consists of several functions for importing, generating reports and statistics, and for data visualization."
"9","⊕","2018-07-11","14:30","Poster lightning","Hannah Coughlan","TBD","Integration and visualisation of high throughput genomics data with R","As sequencing of DNA becomes a more affordable option for studying genomics research questions, more data types are becoming available. One interesting and complex data type, chromosome confirmation capture, aims to interrogate the 3D structure of chromosomes. The same 2 metres of DNA is compacted into the nucleus of every human cell regardless of the cell function, and the genes that determine the cell function are controlled by strict regulation. Chromosome structure can be a mechanism of gene regulation; more specifically, DNA loops form to spatially associate genes with regulators that are not adjacent in the linear genome. However, the techniques to study chromosome structure (Hi-C) are often limited by spatial resolution and can be difficult to interpret. Other genomics techniques that study gene expression (RNA-seq) and regulation (ChIP-seq) cannot discover far away regulators. Here we will show how different types of genomics data can be integrated to investigate long distance gene regulation. Using R and Bioconductor packages (edgeR, Sushi, GenomicRanges and limma) we can integrate data into a common framework that can be visualised to allow for biological interpretation."
"10","⊕","2018-07-11","14:30","Poster lightning","Vipavee Trivittayasil","TBD","MovingBubbles : Animated d3 bubble chart","Webpages: https://github.com/chengvt/MovingBubbles  A line graph is usually used to portray time-series data. However when there are many time-series, the graph can become cluttered and thus difficult to read.  In order to portray the time-series data with many samples in a more intuitive way, a package for plotting an animated bubble chart was developed. A bubble chart here refers to the chart which represents one quantity but arranged in a way that the bubbles are packed close together to use the space efficiently. The quantity each bubble represents is proportional to the bubble area. There is already a package to plot a static bubble chart in R (Joe Chang et al., n.d.). The MovingBubbles package provides a method to add second and third information dimensions to the chart by means of animation and color. The animation portrays changes in data with time and also helps make the plot more engaging to the viewers. The plotting and transitions between frames are handled by d3 library (Bostock et al., 2011). The package uses htmlwidgets framework (Vaidyanathan et al., 2017) to bridge Javascript and R."
